INFO: (2018-06-24 00:36:39,368) [1ms]	-	azee

INFO: (2018-06-24 00:36:39,660) [294ms]	-	Inventory

INFO: (2018-06-24 00:36:39,671) [304ms]	-	Look

INFO: (2018-06-24 00:36:39,741) [375ms]	-	Take linemate

INFO: (2018-06-24 00:36:39,813) [447ms]	-	Forward

INFO: (2018-06-24 00:36:39,813) [447ms]	-	Left

INFO: (2018-06-24 00:36:40,204) [838ms]	-	Inventory

INFO: (2018-06-24 00:36:40,215) [849ms]	-	Look

INFO: (2018-06-24 00:36:40,286) [920ms]	-	Forward

INFO: (2018-06-24 00:36:40,286) [920ms]	-	Right

INFO: (2018-06-24 00:36:40,427) [1061ms]	-	Incantation

INFO: (2018-06-24 00:36:43,678) [4312ms]	-	Inventory

INFO: (2018-06-24 00:36:43,689) [4323ms]	-	Look

INFO: (2018-06-24 00:36:43,760) [4394ms]	-	Take food

INFO: (2018-06-24 00:36:43,831) [4465ms]	-	Take food

INFO: (2018-06-24 00:36:44,153) [4787ms]	-	Inventory

INFO: (2018-06-24 00:36:44,164) [4798ms]	-	Look

INFO: (2018-06-24 00:36:44,235) [4868ms]	-	Forward

INFO: (2018-06-24 00:36:44,556) [5190ms]	-	Inventory

INFO: (2018-06-24 00:36:44,567) [5201ms]	-	Look

INFO: (2018-06-24 00:36:44,639) [5272ms]	-	Take food

INFO: (2018-06-24 00:36:44,960) [5594ms]	-	Inventory

INFO: (2018-06-24 00:36:44,970) [5604ms]	-	Look

INFO: (2018-06-24 00:36:45,041) [5675ms]	-	Forward

INFO: (2018-06-24 00:36:45,362) [5996ms]	-	Inventory

INFO: (2018-06-24 00:36:45,374) [6007ms]	-	Look

INFO: (2018-06-24 00:36:45,444) [6078ms]	-	Take food

INFO: (2018-06-24 00:36:45,515) [6149ms]	-	Take food

INFO: (2018-06-24 00:36:45,836) [6470ms]	-	Inventory

INFO: (2018-06-24 00:36:45,848) [6482ms]	-	Look

INFO: (2018-06-24 00:36:45,919) [6553ms]	-	Take deraumere

INFO: (2018-06-24 00:36:45,990) [6624ms]	-	Take linemate

INFO: (2018-06-24 00:36:46,060) [6694ms]	-	Forward

INFO: (2018-06-24 00:36:46,061) [6694ms]	-	Left

INFO: (2018-06-24 00:36:46,452) [7085ms]	-	Inventory

INFO: (2018-06-24 00:36:46,463) [7096ms]	-	Look

INFO: (2018-06-24 00:36:46,534) [7168ms]	-	Take sibur

INFO: (2018-06-24 00:36:46,605) [7238ms]	-	Forward

INFO: (2018-06-24 00:36:46,605) [7239ms]	-	Left

INFO: (2018-06-24 00:36:46,996) [7630ms]	-	Inventory

INFO: (2018-06-24 00:36:47,007) [7641ms]	-	Look

INFO: (2018-06-24 00:36:47,078) [7711ms]	-	Take food

INFO: (2018-06-24 00:36:47,148) [7782ms]	-	Take food

INFO: (2018-06-24 00:36:47,219) [7853ms]	-	Take food

INFO: (2018-06-24 00:36:47,290) [7924ms]	-	Take food

INFO: (2018-06-24 00:36:47,611) [8245ms]	-	Inventory

INFO: (2018-06-24 00:36:47,623) [8256ms]	-	Look

INFO: (2018-06-24 00:36:47,694) [8328ms]	-	Forward

INFO: (2018-06-24 00:36:47,695) [8328ms]	-	Left

INFO: (2018-06-24 00:36:48,087) [8720ms]	-	Inventory

INFO: (2018-06-24 00:36:48,097) [8731ms]	-	Look

INFO: (2018-06-24 00:36:48,168) [8802ms]	-	Forward

INFO: (2018-06-24 00:36:48,169) [8803ms]	-	Right

INFO: (2018-06-24 00:36:48,560) [9194ms]	-	Inventory

INFO: (2018-06-24 00:36:48,573) [9206ms]	-	Look

INFO: (2018-06-24 00:36:48,644) [9278ms]	-	Forward

INFO: (2018-06-24 00:36:48,645) [9279ms]	-	Right

INFO: (2018-06-24 00:36:49,036) [9670ms]	-	Inventory

INFO: (2018-06-24 00:36:49,047) [9681ms]	-	Look

INFO: (2018-06-24 00:36:49,119) [9752ms]	-	Forward

INFO: (2018-06-24 00:36:49,119) [9753ms]	-	Right

INFO: (2018-06-24 00:36:49,510) [10144ms]	-	Inventory

INFO: (2018-06-24 00:36:49,522) [10156ms]	-	Look

INFO: (2018-06-24 00:36:49,593) [10226ms]	-	Forward

INFO: (2018-06-24 00:36:49,593) [10227ms]	-	Left

INFO: (2018-06-24 00:36:49,985) [10619ms]	-	Inventory

INFO: (2018-06-24 00:36:49,996) [10629ms]	-	Look

INFO: (2018-06-24 00:36:50,066) [10700ms]	-	Forward

INFO: (2018-06-24 00:36:50,066) [10700ms]	-	Right

INFO: (2018-06-24 00:36:50,458) [11091ms]	-	Inventory

INFO: (2018-06-24 00:36:50,469) [11103ms]	-	Look

INFO: (2018-06-24 00:36:50,540) [11173ms]	-	Forward

INFO: (2018-06-24 00:36:50,540) [11174ms]	-	Left

INFO: (2018-06-24 00:36:50,931) [11565ms]	-	Inventory

INFO: (2018-06-24 00:36:50,943) [11577ms]	-	Look

INFO: (2018-06-24 00:36:51,015) [11649ms]	-	Forward

INFO: (2018-06-24 00:36:51,016) [11650ms]	-	Left

INFO: (2018-06-24 00:36:51,407) [12041ms]	-	Inventory

INFO: (2018-06-24 00:36:51,419) [12053ms]	-	Look

INFO: (2018-06-24 00:36:51,490) [12123ms]	-	Forward

INFO: (2018-06-24 00:36:51,490) [12124ms]	-	Left

INFO: (2018-06-24 00:36:51,881) [12514ms]	-	Inventory

INFO: (2018-06-24 00:36:51,891) [12525ms]	-	Look

INFO: (2018-06-24 00:36:51,962) [12595ms]	-	Forward

INFO: (2018-06-24 00:36:51,962) [12596ms]	-	Left

INFO: (2018-06-24 00:36:52,353) [12987ms]	-	Inventory

INFO: (2018-06-24 00:36:52,365) [12999ms]	-	Look

INFO: (2018-06-24 00:36:52,436) [13070ms]	-	Take food

INFO: (2018-06-24 00:36:52,506) [13140ms]	-	Take food

INFO: (2018-06-24 00:36:52,577) [13211ms]	-	Take food

INFO: (2018-06-24 00:36:52,649) [13283ms]	-	Take food

INFO: (2018-06-24 00:36:52,720) [13354ms]	-	Take food

INFO: (2018-06-24 00:36:52,791) [13425ms]	-	Take food

INFO: (2018-06-24 00:36:52,862) [13496ms]	-	Take food

INFO: (2018-06-24 00:36:53,183) [13817ms]	-	Inventory

INFO: (2018-06-24 00:36:53,195) [13828ms]	-	Look

INFO: (2018-06-24 00:36:53,265) [13899ms]	-	Forward

INFO: (2018-06-24 00:36:53,266) [13899ms]	-	Right

INFO: (2018-06-24 00:36:53,656) [14290ms]	-	Inventory

INFO: (2018-06-24 00:36:53,667) [14301ms]	-	Look

INFO: (2018-06-24 00:36:53,738) [14372ms]	-	Forward

INFO: (2018-06-24 00:36:53,738) [14372ms]	-	Right

INFO: (2018-06-24 00:36:54,130) [14764ms]	-	Inventory

INFO: (2018-06-24 00:36:54,142) [14776ms]	-	Look

INFO: (2018-06-24 00:36:54,214) [14848ms]	-	Forward

INFO: (2018-06-24 00:36:54,214) [14848ms]	-	Right

INFO: (2018-06-24 00:36:54,605) [15239ms]	-	Inventory

INFO: (2018-06-24 00:36:54,617) [15250ms]	-	Look

INFO: (2018-06-24 00:36:54,688) [15322ms]	-	Forward

INFO: (2018-06-24 00:36:54,689) [15323ms]	-	Right

INFO: (2018-06-24 00:36:55,083) [15717ms]	-	Inventory

INFO: (2018-06-24 00:36:55,095) [15729ms]	-	Look

INFO: (2018-06-24 00:36:55,167) [15801ms]	-	Forward

INFO: (2018-06-24 00:36:55,167) [15801ms]	-	Left

INFO: (2018-06-24 00:36:55,558) [16192ms]	-	Inventory

INFO: (2018-06-24 00:36:55,569) [16203ms]	-	Look

INFO: (2018-06-24 00:36:55,641) [16275ms]	-	Forward

INFO: (2018-06-24 00:36:55,641) [16275ms]	-	Right

INFO: (2018-06-24 00:36:56,032) [16666ms]	-	Inventory

INFO: (2018-06-24 00:36:56,043) [16677ms]	-	Look

INFO: (2018-06-24 00:36:56,113) [16747ms]	-	Forward

INFO: (2018-06-24 00:36:56,113) [16747ms]	-	Left

INFO: (2018-06-24 00:36:56,505) [17138ms]	-	Inventory

INFO: (2018-06-24 00:36:56,515) [17149ms]	-	Look

INFO: (2018-06-24 00:36:56,586) [17220ms]	-	Forward

INFO: (2018-06-24 00:36:56,587) [17220ms]	-	Left

INFO: (2018-06-24 00:36:56,977) [17611ms]	-	Inventory

INFO: (2018-06-24 00:36:56,989) [17623ms]	-	Look

INFO: (2018-06-24 00:36:57,060) [17693ms]	-	Forward

INFO: (2018-06-24 00:36:57,060) [17694ms]	-	Left

INFO: (2018-06-24 00:36:57,452) [18086ms]	-	Inventory

INFO: (2018-06-24 00:36:57,462) [18096ms]	-	Look

INFO: (2018-06-24 00:36:57,533) [18166ms]	-	Forward

INFO: (2018-06-24 00:36:57,533) [18167ms]	-	Right

INFO: (2018-06-24 00:36:57,924) [18558ms]	-	Inventory

INFO: (2018-06-24 00:36:57,935) [18568ms]	-	Look

INFO: (2018-06-24 00:36:58,005) [18639ms]	-	Forward

INFO: (2018-06-24 00:36:58,005) [18639ms]	-	Right

INFO: (2018-06-24 00:36:58,399) [19032ms]	-	Inventory

INFO: (2018-06-24 00:36:58,409) [19043ms]	-	Look

INFO: (2018-06-24 00:36:58,480) [19114ms]	-	Forward

INFO: (2018-06-24 00:36:58,480) [19114ms]	-	Left

INFO: (2018-06-24 00:36:58,871) [19505ms]	-	Inventory

INFO: (2018-06-24 00:36:58,883) [19517ms]	-	Look

INFO: (2018-06-24 00:36:58,955) [19589ms]	-	Forward

INFO: (2018-06-24 00:36:58,955) [19589ms]	-	Left

INFO: (2018-06-24 00:36:59,346) [19980ms]	-	Inventory

INFO: (2018-06-24 00:36:59,357) [19990ms]	-	Look

INFO: (2018-06-24 00:36:59,427) [20061ms]	-	Forward

INFO: (2018-06-24 00:36:59,427) [20061ms]	-	Left

INFO: (2018-06-24 00:36:59,818) [20452ms]	-	Inventory

INFO: (2018-06-24 00:36:59,829) [20463ms]	-	Look

INFO: (2018-06-24 00:36:59,900) [20534ms]	-	Forward

INFO: (2018-06-24 00:36:59,901) [20534ms]	-	Left

INFO: (2018-06-24 00:37:00,292) [20926ms]	-	Inventory

INFO: (2018-06-24 00:37:00,303) [20937ms]	-	Look

INFO: (2018-06-24 00:37:00,375) [21009ms]	-	Forward

INFO: (2018-06-24 00:37:00,375) [21009ms]	-	Right

INFO: (2018-06-24 00:37:00,766) [21400ms]	-	Inventory

INFO: (2018-06-24 00:37:00,779) [21412ms]	-	Look

INFO: (2018-06-24 00:37:00,850) [21484ms]	-	Forward

INFO: (2018-06-24 00:37:00,851) [21484ms]	-	Left

INFO: (2018-06-24 00:37:01,241) [21875ms]	-	Inventory

INFO: (2018-06-24 00:37:01,252) [21886ms]	-	Look

INFO: (2018-06-24 00:37:01,323) [21957ms]	-	Take food

INFO: (2018-06-24 00:37:01,394) [22028ms]	-	Take food

INFO: (2018-06-24 00:37:01,464) [22098ms]	-	Take food

INFO: (2018-06-24 00:37:01,535) [22168ms]	-	Take food

INFO: (2018-06-24 00:37:01,856) [22490ms]	-	Inventory

